time (s);air mass flow  rate (kg/s);outlet velocity (m/s) x;y;z;pressure
0.28;0;0;0.0;0.0;354687.8630752407
0.31399900000000003;0;0;0.0;0.0;354687.8630752407
0.314;0;0.0;0.0;0.0;1104687.8630752407
0.3140610610610611;-0.0007860250979895435;4.461655830825726;0.0;0.0;1104584.8853488548
0.31412212212212215;-0.004954477914691234;28.13454363506679;0.0;0.0;1103935.8586890681
0.31418318318318317;-0.009143741075533741;51.96400187381361;0.0;0.0;1102738.333208023
0.31424424424424424;-0.012413392054594914;70.61982676544245;0.0;0.0;1101113.1868278298
0.3143053053053053;-0.014904340041229458;84.898276800911;0.0;0.0;1099162.8335666289
0.3143663663663664;-0.01682916177975516;95.99982047734129;0.0;0.0;1096961.7898341732
0.3144274274274274;-0.01834722628278833;104.82316521104282;0.0;0.0;1094563.639165838
0.3144884884884885;-0.019568246718049083;111.98607875613958;0.0;0.0;1092007.5433369805
0.31454954954954956;-0.020567532088195464;117.91197709898682;0.0;0.0;1089322.7576249777
0.31461061061061063;-0.021397663001699083;122.8960557696745;0.0;0.0;1086531.6158515867
0.31467167167167165;-0.022096156853989815;127.14864090865133;0.0;0.0;1083651.5099740322
0.3147327327327327;-0.022690372098077904;130.82289124670427;0.0;0.0;1080696.2259494874
0.3147937937937938;-0.02320066905751938;134.03263177756668;0.0;0.0;1077676.8644767797
0.31485485485485487;-0.023642483359895435;136.864039738684;0.0;0.0;1074602.4892820015
0.31491591591591594;-0.024027714343065294;139.38346167745235;0.0;0.0;1071480.5928730806
0.31497697697697696;-0.02436567421644939;141.64275213452115;0.0;0.0;1068317.437451745
0.31503803803803804;-0.024663749903978453;143.6829926606474;0.0;0.0;1065118.3087347962
0.3150990990990991;-0.024927873142241125;145.53713088857526;0.0;0.0;1061887.7078894249
0.3151601601601602;-0.02516286012871073;147.23188551425633;0.0;0.0;1058629.4987369971
0.3152212212212212;-0.02537266079917508;148.789143151505;0.0;0.0;1055347.0221138336
0.3152822822822823;-0.025560544434953994;150.22699748029223;0.0;0.0;1052043.1857680823
0.31534334334334335;-0.025729239704829175;151.56053260790387;0.0;0.0;1048720.5357913035
0.3154044044044044;-0.02588104162318344;152.8024208544827;0.0;0.0;1045381.3139417424
0.31546546546546544;-0.026017894163082474;153.9633840853672;0.0;0.0;1042027.5040665059
0.3155265265265265;-0.026141454731295092;155.05255345674837;0.0;0.0;1038660.870012945
0.3155875875875876;-0.026253144973442968;156.07775265655022;0.0;0.0;1035282.9868313114
0.31564864864864867;-0.02635419116614852;157.04572291042788;0.0;0.0;1031895.2666418294
0.3157097097097097;-0.026445656597870695;157.9623032165811;0.0;0.0;1028498.9802229692
0.31577077077077076;-0.02652846772881703;158.8325758396124;0.0;0.0;1025095.2751417785
0.31583183183183183;-0.026603435478213613;159.66098461199874;0.0;0.0;1021685.1910694182
0.3158928928928929;-0.026671272663967814;160.45143177835112;0.0;0.0;1018269.672789907
0.315953953953954;-0.02673260838097249;161.20735777884906;0.0;0.0;1014849.5813063891
0.316015015015015;-0.02678799992620572;161.93180737029726;0.0;0.0;1011425.7033690114
0.3160760760760761;-0.02683794274473842;162.6274847325905;0.0;0.0;1007998.7596859424
0.31613713713713715;-0.026882878769011034;163.29679963886184;0.0;0.0;1004569.4120299167
0.3161981981981982;-0.02692320344587981;163.94190633204207;0.0;0.0;1001138.269413805
0.31625925925925924;-0.026959271685893838;164.56473641488208;0.0;0.0;997705.8934777625
0.3163203203203203;-0.026991402922636718;165.16702679994643;0.0;0.0;994272.803205675
0.3163813813813814;-0.027019885433504087;165.75034356244382;0.0;0.0;990839.4790686518
0.31644244244244246;-0.027044980044592846;166.31610237859024;0.0;0.0;987406.3666770733
0.3165035035035035;-0.027066923319652082;166.8655861054103;0.0;0.0;983973.880009518
0.31656456456456455;-0.02708593031494573;167.39995995695932;0.0;0.0;980542.4042760445
0.31662562562562563;-0.027102196967378606;167.92028465114484;0.0;0.0;977112.2984644199
0.3166866866866867;-0.02711590217156367;168.42752783630112;0.0;0.0;973683.8976105081
0.3167477477477478;-0.02712720959206005;168.92257405406602;0.0;0.0;970257.514827915
0.3168088088088088;-0.02713626924932855;169.40623345235736;0.0;0.0;966833.4431268967
0.31686986986986987;-0.02714321891167421;169.8792494273343;0.0;0.0;963411.9570482511
0.31693093093093094;-0.027148185320294803;170.3423053445938;0.0;0.0;959993.3141343324
0.316991991991992;-0.0271512852703095;170.79603046626926;0.0;0.0;956577.7562562977
0.31705305305305304;-0.027152626567129988;171.2410051911927;0.0;0.0;953165.5108141281
0.3171141141141141;-0.02715230887461911;171.6777656990896;0.0;0.0;949756.7918237828
0.3171751751751752;-0.02715042446904987;172.10680807627935;0.0;0.0;946351.8009040031
0.31723623623623626;-0.0271470589108428;172.52859198907115;0.0;0.0;942950.728173676
0.3172972972972973;-0.0271422916443507;172.94354396157115;0.0;0.0;939553.7530693226
0.31735835835835835;-0.027136196534520683;173.352060306644;0.0;0.0;936161.045091092
0.3174194194194194;-0.02712884234804677;173.75450975203353;0.0;0.0;932772.7644846461
0.3174804804804805;-0.0271202931855952;174.15123579794164;0.0;0.0;929389.0628654282
0.3175415415415415;-0.027110608870807892;174.5425588375112;0.0;0.0;926010.0837910734
0.3176026026026026;-0.027099845301041748;174.92877806752637;0.0;0.0;922635.9632870427
0.31766366366366366;-0.027088054764162643;175.31017321311043;0.0;0.0;919266.830329998
0.31772472472472474;-0.027075286225164488;175.68700608717185;0.0;0.0;915902.8072929352
