time (s);air mass flow  rate (kg/s);fuel mass flow  rate (kg/s);inlet air velocity (m/s) x;y;z;inlet fuel velocity (m/s) x;y;z;pressure
0.25204204204204206;2.4341855146412144e-27;0;1.7134081164561897e-23;0.0;0.0;0;0.0;0.0;119935.0
0.25207207207207205;6.449374562929124e-26;0;4.539674834034834e-22;0.0;0.0;0;0.0;0.0;119935.0
0.2521021021021021;1.2320986184988972e-24;0;8.672665910271147e-21;0.0;0.0;0;0.0;0.0;119935.0
0.25213213213213215;1.7781965814398233e-23;0;1.2516615668640691e-19;0.0;0.0;0;0.0;0.0;119935.0
0.25216216216216214;2.0141456875182136e-22;0;1.417744682137592e-18;0.0;0.0;0;0.0;0.0;119935.0
0.2521921921921922;1.8478794033269914e-21;0;1.3007108738626127e-17;0.0;0.0;0;0.0;0.0;119935.0
0.25222222222222224;1.4097597320860005e-20;0;9.923211491813051e-17;0.0;0.0;0;0.0;0.0;119935.0
0.25225225225225223;9.14322313653594e-20;0;6.435858170415492e-16;0.0;0.0;0;0.0;0.0;119935.0
0.2522822822822823;5.136379641685018e-19;0;3.615465836243226e-15;0.0;0.0;0;0.0;0.0;119935.0
0.2523123123123123;2.5394429950241377e-18;0;1.7874982053672688e-14;0.0;0.0;0;0.0;0.0;119935.0
0.2523423423423423;1.1201509317309385e-17;0;7.884673072531384e-14;0.0;0.0;0;0.0;0.0;119935.0
0.25237237237237237;4.460541178014442e-17;0;3.139747325019923e-13;0.0;0.0;0;0.0;0.0;119935.0
0.2524024024024024;1.61996889476242e-16;0;1.1402860776211675e-12;0.0;0.0;0;0.0;0.0;119935.0
0.2524324324324324;5.413744230017838e-16;0;3.810701053119057e-12;0.0;0.0;0;0.0;0.0;119935.0
0.25246246246246246;1.6778082441955033e-15;0;1.1809988376688734e-11;0.0;0.0;0;0.0;0.0;119935.00000000003
0.2524924924924925;4.8552631344365476e-15;0;3.417589666866569e-11;0.0;0.0;0;0.0;0.0;119935.00000000007
0.25252252252252255;1.3198732595664257e-14;0;9.290506175606456e-11;0.0;0.0;0;0.0;0.0;119935.00000000019
0.25255255255255254;3.388632647245731e-14;0;2.3852375451897436e-10;0.0;0.0;0;0.0;0.0;119935.00000000048
0.2525825825825826;8.255730416670015e-14;0;5.811157538369256e-10;0.0;0.0;0;0.0;0.0;119935.0000000012
0.25261261261261264;1.9167619173005304e-13;0;1.3491968490745343e-09;0.0;0.0;0;0.0;0.0;119935.00000000288
0.25264264264264263;4.2570785846831694e-13;0;2.9965312649815836e-09;0.0;0.0;0;0.0;0.0;119935.00000000655
0.2526726726726727;9.07540945299906e-13;0;6.388124538331437e-09;0.0;0.0;0;0.0;0.0;119935.00000001444
0.25270270270270273;1.862791531364664e-12;0;1.3112074284839097e-08;0.0;0.0;0;0.0;0.0;119935.00000003057
0.2527327327327327;3.691546261256043e-12;0;2.5984565630937688e-08;0.0;0.0;0;0.0;0.0;119935.00000006263
0.25276276276276277;7.08086936792616e-12;0;4.9841801183957745e-08;0.0;0.0;0;0.0;0.0;119935.00000012404
0.2527927927927928;1.317607690593235e-11;0;9.274558975826859e-08;0.0;0.0;0;0.0;0.0;119935.00000023835
0.2528228228228228;2.38344077300671e-11;0;1.677689206918732e-07;0.0;0.0;0;0.0;0.0;119935.00000044514
0.25285285285285286;4.199127503567267e-11;0;2.955739857679814e-07;0.0;0.0;0;0.0;0.0;119935.00000080942
0.2528828828828829;7.21766848883998e-11;0;5.080472172798041e-07;0.0;0.0;0;0.0;0.0;119935.00000143556
0.2529129129129129;1.2122751572213707e-10;0;8.533129793259359e-07;0.0;0.0;0;0.0;0.0;119935.00000248724
0.25294294294294295;1.9924995977689857e-10;0;1.402508133514448e-06;0.0;0.0;0;0.0;0.0;119935.00000421584
0.252972972972973;3.208952725931883e-10;0;2.258761960678706e-06;0.0;0.0;0;0.0;0.0;119935.00000699972
0.253003003003003;5.070207534828923e-10;0;3.5688876995819034e-06;0.0;0.0;0;0.0;0.0;119935.00001139827
0.25303303303303304;7.86816250639633e-10;0;5.538350884722774e-06;0.0;0.0;0;0.0;0.0;119935.00001822418
0.2530630630630631;1.200484096598344e-09;0;8.450133246070716e-06;0.0;0.0;0;0.0;0.0;119935.00002863878
0.2530930930930931;1.8025668829236747e-09;0;1.2688156708948955e-05;0.0;0.0;0;0.0;0.0;119935.0000442767
0.25312312312312313;2.666022546667056e-09;0;1.8765967675039996e-05;0.0;0.0;0;0.0;0.0;119935.00006740536
0.2531531531531532;3.88714957014326e-09;0;2.736140519812849e-05;0.0;0.0;0;0.0;0.0;119935.00010112775
0.25318318318318317;5.591466443973771e-09;0;3.9357986159371926e-05;0.0;0.0;0;0.0;0.0;119935.00014963566
0.2532132132132132;7.940648724825206e-09;0;5.589373478521232e-05;0.0;0.0;0;0.0;0.0;119935.00021852352
0.25324324324324327;1.1140623914865163e-08;0;7.841816199904397e-05;0.0;0.0;0;0.0;0.0;119935.0003151723
0.25327327327327326;1.5450918952001165e-08;0;0.00010875806181987447;0.0;0.0;0;0.0;0.0;119935.0004492144
0.2533033033033033;2.1195347351962158e-08;0;0.00014919273748280646;0.0;0.0;0;0.0;0.0;119935.00063309137
0.25333333333333335;2.8774113078089274e-08;0;0.00020253919981077522;0.0;0.0;0;0.0;0.0;119935.0008827168
0.25336336336336335;3.867739618917203e-08;0;0.00027224779571850556;0.0;0.0;0;0.0;0.0;119935.00121825661
0.2533933933933934;5.150047144161314e-08;0;0.000362508627068863;0.0;0.0;0;0.0;0.0;119935.0016650411
0.25342342342342344;6.796039555929609e-08;0;0.00047836901125618584;0.0;0.0;0;0.0;0.0;119935.00225462114
0.25345345345345344;8.891428212976082e-08;0;0.0006258621169510201;0.0;0.0;0;0.0;0.0;119935.00302598339
0.2534834834834835;1.1537916535897364e-07;0;0.0008121467836601415;0.0;0.0;0;0.0;0.0;119935.00402693772
0.25351351351351353;1.4855343555691073e-07;0;0.0010456584045121272;0.0;0.0;0;0.0;0.0;119935.00531569035
0.2535435435435435;1.8983981057604486e-07;0;0.0013362706203905502;0.0;0.0;0;0.0;0.0;119935.00696261662
0.2535735735735736;2.408697888181338e-07;0;0.0016954674425508694;0.0;0.0;0;0.0;0.0;119935.00905224563
0.2536036036036036;3.035295111868952e-07;0;0.002136525292463114;0.0;0.0;0;0.0;0.0;119935.01168546957
0.2536336336336336;3.7998694180149743e-07;0;0.0026747043239753496;0.0;0.0;0;0.0;0.0;119935.0149819883
0.25366366366366366;4.727202606675765e-07;0;0.003327448275886869;0.0;0.0;0;0.0;0.0;119935.01908300076
0.2536936936936937;5.845473460773292e-07;0;0.004114591994403727;0.0;0.0;0;0.0;0.0;119935.02415415212
0.2537237237237237;7.186562104940301e-07;0;0.00505857566624079;0.0;0.0;0;0.0;0.0;119935.03038874456
0.25375375375375375;8.786362412295661e-07;0;0.0061846647154618;0.0;0.0;0;0.0;0.0;119935.03801121953
0.2537837837837838;1.0685100864894897e-06;0;0.007521174241518282;0.0;0.0;0;0.0;0.0;119935.0472809163
0.2538138138138138;1.2927660184466328e-06;0;0.009099696813117349;0.0;0.0;0;0.0;0.0;119935.05849611163
0.25384384384384384;1.5563905979504948e-06;0;0.010955332382790037;0.0;0.0;0;0.0;0.0;119935.07199834232
