time (s);air mass flow  rate (kg/s);outlet velocity (m/s) x;y;z;pressure
0.155;0;0;0.0;0.0;354687.86307523993
0.188999;0;0;0.0;0.0;354687.86307523993
0.189;0;0.0;0.0;0.0;1434687.86307524
0.18906106106106108;-0.0008553802536945033;3.957356347957919;0.0;0.0;1434569.2386405186
0.18912212212212212;-0.005391637730691147;24.953321137269118;0.0;0.0;1433821.5889309463
0.1891831831831832;-0.009950541758670916;46.08429915351581;0.0;0.0;1432442.0558059425
0.18924424424424424;-0.01350869135352976;62.62175785532787;0.0;0.0;1430569.83172136
0.18930530530530532;-0.016219428868396762;75.27229583482779;0.0;0.0;1428322.8401466012
0.18936636636636636;-0.01831408781914448;85.10129340128023;0.0;0.0;1425786.8742641401
0.18942742742742744;-0.019966099190093844;92.90645319699722;0.0;0.0;1423023.620734038
0.18948848848848848;-0.021294856722582828;99.23620248241738;0.0;0.0;1420078.159392616
0.18954954954954956;-0.022382314331271535;104.46649241864023;0.0;0.0;1416984.1635473333
0.1896106106106106;-0.02328569209008392;108.85946872629347;0.0;0.0;1413767.337619955
0.18967167167167168;-0.02404581775287159;112.60193843108256;0.0;0.0;1410447.6967269366
0.18973273273273272;-0.02469246375379066;115.82995409311796;0.0;0.0;1407041.1048810212
0.1897937937937938;-0.025247786915535794;118.64464236580854;0.0;0.0;1403560.335127577
0.18985485485485484;-0.025728584832827184;121.12257730622294;0.0;0.0;1400015.8159325009
0.18991591591591592;-0.026147806785100293;123.32272015001477;0.0;0.0;1396416.167386979
0.189976976976977;-0.02651558664731273;125.29115936663224;0.0;0.0;1392768.5936643765
0.19003803803803804;-0.026839963130800084;127.06441301309565;0.0;0.0;1389079.1752030454
0.1900990990990991;-0.027127391360674165;128.67177237796767;0.0;0.0;1385353.089638564
0.19016016016016016;-0.027383112493008628;130.13699388247;0.0;0.0;1381594.7812380348
0.19022122122122123;-0.02761142498733768;131.47953981360493;0.0;0.0;1377808.0925250037
0.19028228228228228;-0.02781588659097935;132.71550141968476;0.0;0.0;1373996.3677423752
0.19034334334334335;-0.027999466737608225;133.85829485113152;0.0;0.0;1370162.5350596327
0.1904044044044044;-0.02816466294287602;134.91919228459614;0.0;0.0;1366309.1725404256
0.19046546546546547;-0.028313590706883936;135.90773184773957;0.0;0.0;1362438.5615627542
0.19052652652652652;-0.02844805367817407;136.8320373060988;0.0;0.0;1358552.7304434436
0.1905875875875876;-0.028569598941687934;137.6990697864549;0.0;0.0;1354653.4903413279
0.19064864864864864;-0.02867956097492629;138.5148277627508;0.0;0.0;1350742.465019792
0.1907097097097097;-0.028779096885918152;139.2845072629883;0.0;0.0;1346821.1156850776
0.19077077077077076;-0.028869214881359715;140.01263120653613;0.0;0.0;1342890.7618452006
0.19083183183183183;-0.028950797432173637;140.70315457742387;0.0;0.0;1338952.5989297063
0.1908928928928929;-0.029024620251964974;141.35955052864279;0.0;0.0;1335007.7132549768
0.19095395395395395;-0.029091367943999448;141.98488132340714;0.0;0.0;1331057.0948003933
0.19101501501501503;-0.02915164697851801;142.58185713290626;0.0;0.0;1327101.6481683548
0.19107607607607607;-0.029205996516332988;143.15288504326884;0.0;0.0;1323142.2020291216
0.19113713713713715;-0.029254897483923778;143.70011011854498;0.0;0.0;1319179.5172949038
0.1911981981981982;-0.02929878022051624;144.2254499795544;0.0;0.0;1315214.2942228494
0.19125925925925927;-0.029338030952296253;144.7306240602319;0.0;0.0;1311247.1786109663
0.19132032032032031;-0.029372997298163485;145.2171784715893;0.0;0.0;1307278.7672224478
0.1913813813813814;-0.029403992971754448;145.6865072224822;0.0;0.0;1303309.612550868
0.19144244244244243;-0.029431301813233387;146.13987040402068;0.0;0.0;1299340.227020043
0.1915035035035035;-0.029455181259621394;146.5784098318083;0.0;0.0;1295371.0866971535
0.19156456456456455;-0.02947586534273506;147.0031625504874;0.0;0.0;1291402.6345852853
0.19162562562562563;-0.02949356728802966;147.4150725332637;0.0;0.0;1287435.2835512666
0.19168668668668667;-0.029508481774936927;147.81500085128;0.0;0.0;1283469.4189362323
0.19174774774774775;-0.029520786909006523;148.2037345409572;0.0;0.0;1279505.400889295
0.19180880880880882;-0.029530645947798716;148.5819943594141;0.0;0.0;1275543.5664588287
0.19186986986986987;-0.029538208815645468;148.95044158704383;0.0;0.0;1271584.2314709756
0.19193093093093094;-0.02954361343679141;149.30968401086855;0.0;0.0;1267627.6922208222
0.191991991991992;-0.029546986911807394;149.66028120132577;0.0;0.0;1263674.2269982402
0.19205305305305306;-0.02954844655834734;150.00274917779896;0.0;0.0;1259724.0974674174
0.1921141141141141;-0.02954810083414432;150.33756454380534;0.0;0.0;1255777.5499165978
0.19217517517517518;-0.029546050157495448;150.6651681607581;0.0;0.0;1251834.8163924194
0.19223623623623623;-0.02954238763827011;150.9859684191795;0.0;0.0;1247896.1157314111
0.1922972972972973;-0.029537199730616946;151.3003441578236;0.0;0.0;1243961.6544996398
0.19235835835835835;-0.02953056681697839;151.60864727407224;0.0;0.0;1240031.6278501507
0.19241941941941942;-0.029522563731697957;151.9112050629773;0.0;0.0;1236106.2203066978
0.19248048048048047;-0.029513260231383016;152.20832231724597;0.0;0.0;1232185.6064812255
0.19254154154154154;-0.029502721418232118;152.50028321615096;0.0;0.0;1228269.9517317307
0.1926026026026026;-0.029491008121721903;152.7873530276698;0.0;0.0;1224359.4127663437
0.19266366366366366;-0.029478177243353467;153.06977964501587;0.0;0.0;1220454.1381988253
0.19272472472472474;-0.029464282068561352;153.34779497602756;0.0;0.0;1216554.269060102
